7,120000
3,65000
7,120000
0,25000
14,195000
16,215000
2,55000
9,145000
4,75000
9,135000
3,80000
13,185000
1,60000
5,95000
12,170000
3,65000
7,120000
0,25000
14,195000
16,215000
2,55000
9,145000
4,75000
9,135000
3,80000
13,185000
1,60000
5,95000
12,170000
3,65000
7,120000
0,25000
14,195000
16,215000
2,55000
9,145000
4,75000
9,135000
3,80000
13,185000
1,60000
5,95000
12,170000
3,65000
7,120000
0,25000
14,195000
16,215000
2,55000
9,145000
4,75000
9,135000
3,80000
13,185000
1,60000
5,95000
12,170000
3,65000
7,120000
0,25000
14,195000
16,215000
2,55000
9,145000
4,75000
9,135000
3,80000
13,185000
1,60000
5,95000
12,170000
